,cell_id,cell_type,numb_events,wp_avg,wp_amplitude_pre,wp_amplitude_post,vm_avg,vm_amplitude_pre,vm_amplitude_post,ap_avg,ap_psth,ap_fr_pre,ap_fr_post
0,JP902_1,EXC,13,"[ 1.63032302  1.36424201  1.23725137  0.95137481  1.02964133  0.93800329
  0.75149396  0.93044566  1.06280653  1.28498992  1.40262984  1.24406864
  1.33340116  1.46419586  1.50252188  1.29021553  1.16428401  1.05512739
  1.25989532  1.41901847  1.50446219  1.74697306  1.76594639  1.64425394
  1.49028086  1.44489263  1.51902595  1.59800801  1.56956986  1.54045448
  1.56393757  1.42096759  1.36003963  1.53495373  1.75574579  1.77777247
  1.86742303  1.85096646  1.55819918  1.49507736  1.59031485  1.238443
  1.09085011  0.99173387  0.76673853  1.25431792  1.24629974  0.55906964
  0.30257714  0.28935794  0.0743528  -0.35569415 -0.34478662 -0.33163234
 -0.38467752  0.13974124  0.26259453  0.36887609 -0.0795336  -0.10084688
  0.1298524   0.24189346  0.17509298 -0.11699726 -0.11513451  0.27261473
  0.41252153  0.2364113  -0.5666206  -0.27109633  0.91660799  1.29706604
  0.74619418 -0.57849184 -1.49149733 -1.49447135 -1.14123731 -0.28026786
  0.01706296 -0.67510866 -1.18633776 -0.80680357 -0.03515367 -0.05016112
 -0.75262174 -0.69864078 -0.42880341 -0.40488547 -0.19411343  0.04894403
 -0.15064433 -0.21732849 -0.45796055 -1.04124878 -0.93279735 -0.25991438
 -0.43955182  0.16448519  0.44890619  0.53214263]",1.205100604995539,-0.004314337664772458,"[-0.05661346 -0.0565887  -0.0566137  ... -0.05828486 -0.05828846
 -0.05828269]",-56.567211542643385,-56.27993418024417,[0. 0. 0. ... 0. 0. 0.],"[0.         0.         0.         1.53846154 0.         3.07692308
 0.         0.         0.         0.         1.53846154 0.
 0.         0.         0.         0.         1.53846154 0.
 0.         0.        ]",0.38471156250601113,0.38471156250601113
1,JP903_1,EXC,13,"[ 5.59008105  5.36690932  5.72071861  5.86440967  6.04202965  5.90198983
  5.8365849   5.88598456  5.70139616  5.30619456  4.96521544  5.09621198
  5.15038781  5.21646005  5.26490773  5.33286458  5.23512153  5.19742574
  5.12226285  4.97543834  5.12481127  5.49198688  5.34597586  5.28659074
  5.43124117  5.48000526  5.59630454  5.63651017  5.52450802  5.19356304
  5.07468624  4.9707532   4.82362741  5.0979404   5.04902528  4.7970711
  4.70002245  5.06627707  4.97138834  4.98120527  4.74331032  4.71686207
  4.98111811  4.82864585  4.89611499  5.14749797  4.94323876  5.09443139
  4.74612265  4.68106096  4.99789277  6.04830112  6.45281917  6.22092257
  5.98235112  5.94007229  6.59988777  7.67832389  7.83523123  7.97334542
  8.09568004  8.40947882  8.50729989  8.29664642  9.20197484 10.40189283
 10.92522332 10.07099684  9.58730976 10.06287623 11.07358389 11.42522449
 10.34860625  8.80656117  9.22466021 10.44563146 10.88076625 10.29711394
 10.69427511 10.52042344  9.75243496  9.74802386  8.82959279  8.94660664
  9.89808992 10.64406184 10.66441715  9.50573056  8.59949112  9.0442967
  9.81072005  9.57282103  8.97777474  8.49369146  8.58139975  9.43611967
 10.37039936 10.8108636   9.7129553   8.66914201]",5.463008211576019,7.85398158455667,"[-0.06675505 -0.06674783 -0.0667613  ... -0.06444423 -0.06444808
 -0.06445529]",-66.71232021301007,-66.46813009285599,[0. 0. 0. ... 0. 0. 0.],"[0.         0.         0.         0.         1.53846154 0.
 1.53846154 3.07692308 0.         0.         0.         0.
 1.53846154 0.         1.53846154 0.         0.         1.53846154
 0.         1.53846154]",0.0,0.38471156250601113
2,JP905_1,EXC,14,"[5.20685063 5.28445094 5.3122831  5.32105406 5.11835136 5.19202397
 5.57820259 5.82639488 6.05243708 5.98788067 6.10009041 6.06720881
 6.25170261 6.21397766 6.1201202  6.02472523 6.06426176 6.05922182
 5.93498748 5.9893849  5.9998259  5.92532718 5.96643116 6.01220085
 5.51021891 5.52643312 5.58390086 5.55622602 5.76976012 5.67187461
 5.60338823 5.75713158 5.46244956 5.50045388 5.44500786 5.35806418
 5.39886668 5.23665815 4.9646083  4.78916815 4.70888333 5.19242583
 5.39327391 5.43021345 5.27113392 5.2756665  5.32192283 5.19112101
 4.84534584 4.79003231 4.57940005 5.008406   5.78724852 6.87228411
 7.22168641 7.46603145 7.15827353 6.54459547 5.17019921 3.79095271
 4.09537996 4.82580875 4.88584226 3.95816642 3.28698292 3.33311838
 3.49795604 3.69979674 3.87193089 4.68979039 4.67799914 4.05903803
 5.05202152 5.62323923 5.67805416 4.66571494 3.76169238 3.67672615
 3.53834469 3.51581975 3.9746353  3.755712   3.24483999 3.54835118
 4.78097115 5.40579715 4.83133977 5.451074   5.91504725 6.74560584
 6.63775017 5.32156334 4.42812644 4.88957656 5.30155051 5.83073741
 5.04331197 4.92941177 5.95964883 6.4412658 ]",5.77453817062808,5.002845253693426,"[-0.05909152 -0.05907611 -0.05908348 ... -0.05628036 -0.05628861
 -0.05627745]",-58.051123431222116,-55.83382059941731,[0. 0. 0. ... 0. 0. 0.],"[0.         0.         0.         0.         0.         1.42857143
 0.         0.         0.         1.42857143 1.42857143 1.42857143
 1.42857143 0.         0.         0.         0.         0.
 0.         0.        ]",0.0,1.0716964955524595
3,JP906_1,EXC,19,"[2.45338703 2.29440498 2.28399691 2.26460501 2.36680507 2.44686658
 2.22756661 2.11760724 2.00982116 2.04991776 2.18130822 2.06312714
 1.99520711 1.80700549 1.84200611 1.83057854 1.64765467 1.35654338
 1.29319406 1.36866612 1.53931769 1.45341919 1.49407424 1.61751235
 1.61599232 1.91815937 1.9871606  2.05412959 2.00575974 2.29022063
 2.37376237 2.39233318 2.41959516 2.59091584 2.52506475 2.70948696
 2.9240502  2.89504957 2.53481619 2.52951528 2.73118721 2.6469059
 2.67972442 2.55785154 2.62091269 2.56408446 2.39198364 2.70207826
 2.94938677 3.50317945 3.50853773 3.20445104 3.1656928  2.76766672
 3.3241377  3.51830492 3.26256796 2.96328953 3.02022944 3.49049709
 4.21342966 4.59815548 3.59242278 2.66469284 2.44052061 2.1438475
 2.00505459 2.1213393  1.78974895 1.69117125 1.93579722 2.68149021
 2.89727639 3.2914374  3.11338828 2.97161443 2.74692098 2.71255949
 2.80254267 2.45235132 1.90153548 2.34097343 2.1836406  2.34786925
 1.70463556 1.34175128 1.26128145 1.67407178 1.79493435 1.74455444
 0.81869255 1.06689603 1.80809445 2.62715157 2.73843777 2.56361701
 1.83437037 2.01372243 2.82176796 2.38275121]",2.0279791090693147,3.0418203490196474,"[-0.05682335 -0.05680164 -0.05681019 ... -0.05364424 -0.05364046
 -0.05363487]",-57.561065754301175,-55.488853570377266,[0. 0. 0. ... 0. 0. 0.],"[0.         0.         0.         0.         0.         0.
 2.10526316 0.         0.         0.         1.05263158 0.
 3.15789474 0.         0.         1.05263158 2.10526316 0.
 5.26315789 3.15789474]",0.0,1.0528948026480305
4,JP907_1,EXC,12,"[-2.95449374 -3.27992165 -3.19924932 -3.42781016 -3.28924035 -3.11424037
 -2.85173203 -2.63505512 -2.95841023 -3.22196019 -3.63859303 -3.56312301
 -3.73437701 -3.74987429 -3.49937818 -3.49027566 -3.58109411 -3.50220113
 -3.53197066 -3.61298809 -3.12920503 -3.16352428 -3.36205825 -3.12548143
 -3.18246245 -3.42995422 -3.24395193 -3.2148339  -3.30196628 -3.59356362
 -3.81492257 -3.87790085 -4.33352959 -4.79517799 -4.62963648 -4.61574416
 -4.71185918 -4.59836356 -4.54090892 -4.38746267 -4.31491835 -4.3609337
 -4.42621262 -4.28061277 -4.51937041 -4.44757294 -4.59179263 -4.4854733
 -4.35471754 -4.19277346 -4.11753575 -4.02686426 -4.42581671 -3.77913124
 -3.12639063 -3.08959077 -3.35882385 -2.99632737 -2.6792802  -3.07507979
 -3.73591985 -3.39667018 -2.86601399 -3.05197818 -2.32650687 -1.72749717
 -2.35091851 -3.08721755 -3.00681603 -2.66848774 -2.269437   -1.63951888
 -1.83358925 -2.22880075 -2.35395631 -2.67017329 -2.47364043 -2.49495198
 -3.62414249 -3.70523949 -3.41707968 -3.08164114 -2.12915428 -1.705732
 -2.16044505 -3.05157652 -3.46002063 -3.19899634 -2.51549917 -1.53789877
 -0.64742647 -0.4183268  -0.85526773 -2.88238875 -3.2175386  -2.59569693
 -2.00367501 -1.81258551 -1.62754078 -1.88135508]",-3.3275263282290717,-3.169704152910335,"[-0.05574922 -0.05574635 -0.05574948 ... -0.0550875  -0.05507448
 -0.05509349]",-54.70917758752259,-54.48581811538712,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0,0.0
5,SC901_1,EXC,17,"[ 2.22510981  2.10831069  1.9158612   1.83594407  1.91403933  2.10862702
  2.28663157  2.53577475  2.76650726  2.91807726  3.05207881  3.03441667
  2.98780362  2.96295576  2.9836907   2.94083573  2.73922979  2.64971517
  2.57930546  2.31298917  2.35405647  2.52275525  2.49150822  2.45968377
  2.28317419  2.2620432   2.16642055  2.10392511  2.07538287  2.03839208
  1.9658607   1.96222882  1.95780893  2.06953885  2.03017774  1.82772904
  1.64414744  1.75026233  1.71170959  1.72762256  2.05077401  2.09524707
  2.06639647  2.12573021  2.32509068  2.77598439  3.33526713  3.6734282
  3.63004758  3.52656556  3.45175624  2.44649447  0.1112252  -1.86996756
 -2.58825387 -3.02897147 -2.72627359 -1.80864279 -0.92005325 -0.07094363
  0.2655235   0.26429573 -0.20835768 -1.40294979 -1.98906611 -1.66334849
 -1.18610187 -1.38414243 -1.77003559 -1.79014622 -1.20767783  0.1201161
  1.69135538  2.97123606  4.06386547  4.44488164  4.1503865   3.18596352
  1.3971736   0.87322682  1.84440278  3.02004282  3.77791349  4.57136891
  5.57585427  6.97100504  8.30584802  8.27066298  7.65994609  7.17951796
  6.93939692  7.27149476  7.95638681  8.50887161  9.16397826  9.21948266
  8.84367563  8.58004339  8.72731525  8.65127499]",2.5549955090144394,-0.8462006820712231,"[-0.0435     -0.04350313 -0.04350257 ... -0.04223162 -0.04223162
 -0.0422296 ]",-44.043245645970316,-37.34423708202335,[0. 0. 0. ... 0. 0. 0.],"[ 1.17647059  0.          1.17647059  2.35294118  3.52941176  3.52941176
  1.17647059  4.70588235  7.05882353  9.41176471 12.94117647 17.64705882
 15.29411765 10.58823529 11.76470588  8.23529412  4.70588235  5.88235294
  4.70588235  5.88235294]",1.1767647794301517,14.12117735316182
6,SC903_1,EXC,6,"[-0.54451657  0.07693837  0.25993501  0.14015407 -0.14732679 -0.36783807
 -0.28612615 -0.22515792 -0.30792133 -0.39531426 -0.66778234 -0.65760571
 -0.8173064  -1.23477916 -1.25654837 -1.49194466 -1.72572307 -1.46759119
 -1.1989212  -1.19615866 -1.27586897 -1.24232986 -1.35316671 -1.51735718
 -1.60513491 -1.54289234 -1.40298618 -1.44698526 -1.76757685 -1.85135046
 -1.59149505 -1.44531453 -1.50550658 -1.74216916 -1.80265382 -1.67883541
 -1.81764086 -1.87097617 -1.82931142 -1.95864483 -2.1203131  -1.99192587
 -1.43213919 -1.09597087 -1.39225466 -1.25323904 -1.01606504 -1.20114571
 -1.25916462 -0.93750138 -0.12527251  3.273293    8.73222435 11.49768887
  9.54132391  8.08923031  9.64712218 11.76995287 11.94592465 11.33361049
 12.14335262 14.68386118 14.54123837 12.73245617 14.05237596 15.83463147
 14.94093941 12.21541499 10.63564655 10.81907273 12.48261062 13.4983251
 12.86091363 12.30034628 11.94230016 12.0782992  10.51731783  8.81184383
  8.8091527   9.87552736 11.10478322 11.46194875 10.69786758  9.93049436
  9.76429097 10.21095152 10.34133262  8.098544    3.72011855  1.53199435
  4.49181043  8.87323737 11.86567496 11.88074903 10.56879136  9.28785047
  6.62640583  3.66166267  1.99188021  2.59285408]",-0.6481776701760398,10.920263939828454,"[-0.05277917 -0.05276354 -0.05276823 ... -0.05368802 -0.0537401
 -0.05371198]",-53.63128334166874,-53.95773839293157,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0,0.0
7,SC904_1,EXC,18,"[-4.27087950e+00 -4.39006881e+00 -4.67539852e+00 -4.79956904e+00
 -4.59504494e+00 -4.30936291e+00 -4.19104104e+00 -4.35401954e+00
 -4.44218016e+00 -4.51299162e+00 -4.48238115e+00 -4.40316901e+00
 -4.32775863e+00 -4.53983782e+00 -4.72571688e+00 -4.76147159e+00
 -4.72990585e+00 -4.59522606e+00 -4.44135777e+00 -4.32155034e+00
 -4.21772453e+00 -4.04062416e+00 -4.13180399e+00 -4.25145910e+00
 -4.04931418e+00 -4.09077079e+00 -3.96122437e+00 -3.84408427e+00
 -3.67226436e+00 -3.86190322e+00 -4.00514861e+00 -3.74706836e+00
 -3.46030563e+00 -3.34716830e+00 -3.30593037e+00 -3.18094643e+00
 -2.94172466e+00 -2.58154845e+00 -2.42916490e+00 -2.18502112e+00
 -1.88875903e+00 -1.73014391e+00 -1.73541555e+00 -1.93621117e+00
 -1.85799922e+00 -1.62095395e+00 -1.75525882e+00 -2.21510756e+00
 -2.59283146e+00 -2.57581167e+00 -2.31230043e+00 -1.29913287e+00
  5.75309438e-01  1.99853869e+00  2.60741841e+00  2.07327512e+00
  2.14224934e+00  2.87293303e+00  2.11658405e+00  5.07618366e-01
  4.30344793e-01  7.94299553e-01  4.38181790e-01  3.31516070e-01
  5.33447620e-01  6.69061926e-01  1.30459019e+00  1.92120548e+00
  1.74195149e+00  1.71132601e+00  1.41229171e+00  7.17966458e-01
  6.92321129e-02 -1.64046809e-01  5.27051598e-01  8.54443137e-01
  7.53656456e-01  5.11352370e-01  4.33304515e-03 -8.05807758e-01
 -7.05013843e-01 -3.69545482e-01 -5.63799753e-01 -4.96308682e-01
 -1.62909267e-02  2.88024223e-01  3.65548968e-01  1.71061924e-02
 -5.09491802e-01 -7.53070070e-01 -6.95524980e-01 -1.04928927e+00
 -1.42946507e+00 -1.40354674e+00 -1.39992698e+00 -1.26727660e+00
 -1.50149688e-01  1.18983929e+00  1.76500628e+00  1.65900700e+00]",-4.502493728874456,1.0235311608096775,"[-0.04609288 -0.04609878 -0.04608924 ... -0.04541146 -0.04541267
 -0.04540278]",-46.82482456551638,-45.136947344475004,[0. 0. 0. ... 0. 0. 0.],"[0.         1.11111111 0.         0.         1.11111111 1.11111111
 0.         0.         0.         0.         0.         0.
 0.         2.22222222 1.11111111 1.11111111 0.         1.11111111
 1.11111111 0.        ]",0.27784723958767465,0.5556944791753493
8,SC905_1,EXC,35,"[-1.65053943 -1.65534568 -1.63813131 -1.43149434 -1.25528254 -1.23743009
 -1.05518695 -0.86728787 -0.84514813 -0.7480657  -0.78244645 -0.9079547
 -0.94849978 -0.8367811  -0.87972847 -0.93302276 -0.79103212 -0.83689296
 -1.09046335 -1.29869649 -1.49846964 -1.79502324 -2.0218975  -2.03787163
 -2.0059493  -1.96761993 -1.99814465 -2.04401305 -1.92935256 -1.81613147
 -1.76680901 -1.7575594  -1.85333131 -1.9316197  -1.99443049 -2.11204429
 -2.25436501 -2.22087165 -2.20913247 -2.09545235 -2.0797116  -2.05220526
 -2.09036323 -2.12155443 -2.39170842 -2.51811049 -2.3830058  -2.21740057
 -1.8796598  -1.53164082 -1.21829461  0.85627135  4.69514907  7.51141608
  8.43884705  8.74208868  8.74380099  8.29846384  8.29569803  8.36840397
  8.59270965  8.18647443  7.25325658  6.73547417  6.56050863  6.43425336
  6.67026171  7.0771662   6.59957689  6.22378399  6.3647599   5.07969144
  3.20630946  2.30942153  2.2879367   2.25413857  1.95427609  1.65350355
  1.54458296  1.88488788  2.16110405  2.2283868   1.26817047  0.61312438
  0.52680063  0.72524835  1.26261613  1.49655448  1.01631278  0.30328966
  0.14761528  0.23251379  0.73972537  1.36857152  1.75131643  1.73756689
  1.0924584   0.67860106  0.73761157  0.83202914]",-1.0731965113211808,6.6758697937575135,"[-0.06817714 -0.06816929 -0.06817223 ... -0.06209634 -0.06210527
 -0.0621117 ]",-67.08541484701533,-59.79159730780909,[0. 0. 0. ... 0. 0. 0.],"[0.57142857 1.14285714 0.         0.57142857 0.         0.57142857
 0.         0.57142857 0.57142857 0.         2.28571429 0.
 0.57142857 0.57142857 0.         1.71428571 0.57142857 1.14285714
 0.         0.57142857]",0.5715714642946451,0.8573571964419676
9,SC906_1,EXC,8,"[-4.9203841  -4.75256724 -4.51139704 -4.59713055 -4.37397752 -4.0013634
 -3.95600842 -4.62592246 -5.01265533 -5.21080657 -5.7390712  -6.37479503
 -6.76911892 -7.05966796 -6.96118052 -6.83522517 -6.96366134 -7.14197882
 -7.12794218 -7.17196074 -7.1676831  -7.01036745 -6.7921818  -6.89011788
 -6.81702428 -6.4262253  -5.94235193 -5.70329552 -5.73266941 -5.92774523
 -5.79832032 -5.52711636 -5.4970894  -5.51825257 -5.41933762 -5.06905904
 -4.39730657 -3.70045787 -3.05478594 -2.58180809 -3.23407156 -4.15619139
 -4.17003342 -4.03322539 -4.35435627 -4.37502697 -3.89579301 -3.60702584
 -3.20714323 -2.87504831 -2.78709507 -3.05363433 -3.66929336 -3.97070792
 -3.54384028 -2.07143592 -1.10142104 -1.81460395 -2.97283883 -2.44919591
 -2.07798822 -2.36403028 -2.87057905 -2.86445957 -2.43917291 -2.61637927
 -2.70861934 -2.2548937  -1.86592711 -2.48583818 -3.37128101 -3.39250618
 -3.12624953 -3.55755842 -3.28281777 -3.05160811 -2.68709707 -2.34087922
 -2.55178133 -2.97629501 -2.68880602 -1.45506346 -1.02313901 -2.10066604
 -3.00446085 -2.63417053 -1.60614942 -1.22066638 -1.51160826 -1.58934227
 -1.47730674 -1.96642283 -2.50435584 -1.76574684 -0.31462696  0.24609553
 -0.29981339 -1.7361942  -2.19917728 -1.65183026]",-5.628150199915858,-2.605058740041035,"[-0.05749844 -0.05747656 -0.05748438 ... -0.05677734 -0.05677656
 -0.05676719]",-55.53565276084646,-54.72367554779319,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0,0.0
